,FIPS,air_particulate,Year
894,19175,8.9,2019
895,19177,9.3,2019
896,19179,9.7,2019
897,19181,9.2,2019
898,19183,10.3,2019
899,19185,9,2019
900,19187,8.9,2019
901,19189,8.1,2019
902,19191,8.7,2019
903,19193,9,2019
904,19195,8.1,2019
905,19197,8.8,2019
906,20000,8.1,2019
907,20001,9.5,2019
908,20003,9.2,2019
909,20005,9.7,2019
910,20007,7.8,2019
911,20009,7.9,2019
912,20011,9.5,2019
913,20013,9.4,2019
914,20015,9.6,2019
915,20017,8.6,2019
916,20019,9.1,2019
917,20021,9.9,2019
918,20023,6.2,2019
919,20025,7.1,2019
920,20027,8.3,2019
921,20029,8.1,2019
922,20031,9.2,2019
923,20033,7.2,2019
924,20035,9.3,2019
925,20037,9.7,2019
926,20039,6.6,2019
927,20041,8.8,2019
928,20043,9.9,2019
929,20045,9.8,2019
930,20047,7.5,2019
931,20049,8.9,2019
932,20051,7.5,2019
933,20053,7.8,2019
934,20055,7.6,2019
935,20057,7.6,2019
936,20059,9.4,2019
937,20061,8.8,2019
938,20063,6.9,2019
939,20065,6.8,2019
940,20067,7.2,2019
941,20069,7.4,2019
942,20071,6.6,2019
943,20073,8.9,2019
944,20075,6.8,2019
945,20077,8.5,2019
946,20079,9.2,2019
947,20081,7.4,2019
948,20083,7.2,2019
949,20085,9.3,2019
950,20087,9.7,2019
951,20089,7.6,2019
952,20091,9.8,2019
953,20093,7.2,2019
954,20095,8.4,2019
955,20097,7.3,2019
956,20099,9.9,2019
957,20101,7,2019
958,20103,10.1,2019
959,20105,7.7,2019
960,20107,9.3,2019
961,20109,6.7,2019
962,20111,9.1,2019
963,20113,8.8,2019
964,20115,8.9,2019
965,20117,8.8,2019
966,20119,7.1,2019
967,20121,9.7,2019
968,20123,7.8,2019
969,20125,10.1,2019
970,20127,8.7,2019
971,20129,6.5,2019
972,20131,9.2,2019
973,20133,9.6,2019
974,20135,7.1,2019
975,20137,6.7,2019
976,20139,9.3,2019
977,20141,7.3,2019
978,20143,8.2,2019
979,20145,7.7,2019
980,20147,7.1,2019
981,20149,9.1,2019
982,20151,7.8,2019
983,20153,6.4,2019
984,20155,8.8,2019
985,20157,8,2019
986,20159,8.1,2019
987,20161,9,2019
988,20163,7.2,2019
989,20165,7.5,2019
990,20167,7.5,2019
991,20169,8.5,2019
992,20171,7,2019
993,20173,10,2019
994,20175,7.2,2019
995,20177,9.6,2019
996,20179,6.7,2019
997,20181,6.4,2019
998,20183,7.3,2019
999,20185,7.8,2019
1000,20187,6.5,2019
1001,20189,7,2019
1002,20191,9.1,2019
1003,20193,6.6,2019
1004,20195,6.9,2019
1005,20197,8.9,2019
1006,20199,6.5,2019
1007,20201,8.4,2019
1008,20203,6.8,2019
1009,20205,9.7,2019
1010,20207,9.2,2019
1011,20209,10.1,2019
1012,21000,10.7,2019
1013,21001,10.4,2019
1014,21003,10.6,2019
1015,21005,10.9,2019
1016,21007,11.1,2019
1017,21009,10.8,2019
1018,21011,10,2019
1019,21013,9.7,2019
1020,21015,12,2019
1021,21017,10.5,2019
1022,21019,10.4,2019
1023,21021,10.5,2019
1024,21023,10.5,2019
1025,21025,9.7,2019
1026,21027,11.8,2019
1027,21029,12.4,2019
1028,21031,11.1,2019
1029,21033,10.9,2019
1030,21035,10.7,2019
1031,21037,11.7,2019
1032,21039,11,2019
1033,21041,11.1,2019
1034,21043,9.6,2019
1035,21045,10.4,2019
1036,21047,10.9,2019
1037,21049,10.4,2019
1038,21051,9.8,2019
1039,21053,9.7,2019
1040,21055,11.1,2019
1041,21057,9.9,2019
1042,21059,12.2,2019
1043,21061,11,2019
1044,21063,9.4,2019
1045,21065,9.8,2019
1046,21067,10.8,2019
1047,21069,10.1,2019
1048,21071,10,2019
1049,21073,11,2019
1050,21075,10.9,2019
1051,21077,11.1,2019
1052,21079,10.4,2019
1053,21081,10.9,2019
1054,21083,11,2019
1055,21085,11.3,2019
1056,21087,10.7,2019
1057,21089,10.4,2019
1058,21091,12.1,2019
1059,21093,11.8,2019
1060,21095,9.6,2019
1061,21097,10.5,2019
1062,21099,11,2019
1063,21101,12,2019
1064,21103,11.2,2019
1065,21105,10.7,2019
1066,21107,11.6,2019
1067,21109,9.8,2019
1068,21111,12.9,2019
1069,21113,10.8,2019
1070,21115,9.8,2019
1071,21117,12.2,2019
1072,21119,9.7,2019
1073,21121,9.9,2019
1074,21123,11.2,2019
1075,21125,10,2019
1076,21127,9.9,2019
1077,21129,9.6,2019
1078,21131,9.5,2019
1079,21133,9.5,2019
1080,21135,10,2019
1081,21137,10.3,2019
1082,21139,11.1,2019
1083,21141,11,2019
1084,21143,10.9,2019
1085,21145,11.1,2019
1086,21147,9.6,2019
1087,21149,11.8,2019
1088,21151,10.1,2019
1089,21153,9.7,2019
1090,21155,10.9,2019
1091,21157,11.1,2019
1092,21159,9.8,2019
1093,21161,10.3,2019
1094,21163,12.1,2019
1095,21165,9.5,2019
1096,21167,10.7,2019
